Latitude,Longitude,State,GEN_Total_GWh,GEN_RE_GWh,State
19.7515,75.7139,Maharashtra,1474145.7600000007,148688,Maharashtra
26.8467,80.9462,Uttar Pradesh,1408919.2999999998,56634,Uttar Pradesh
22.9734,78.6569,Madhya Pradesh,1344073.4400000004,79606,Madhya Pradesh
21.2787,81.8661,Chhattisgarh,1304940.4799999997,17049,Chhattisgarh
22.2587,71.1924,Gujarat,1163951.4300000002,218368,Gujarat
11.1271,78.6569,Tamil Nadu,1055921.3499999996,214085,Tamil Nadu
27.0238,74.2179,Rajasthan,829769.7500000002,236483,Rajasthan
22.9868,87.855,West Bengal,822246.3400000001,15581,West Bengal
15.9129,79.74,Andhra Pradesh,764830.0099999997,128052,Andhra Pradesh
15.3173,75.7139,Karnataka,736396.7699999999,231392,Karnataka
20.9517,85.0985,Odisha,605423.9099999996,10206,Odisha
18.1124,79.0193,Telangana,573128.93,58410,Telangana
31.1048,77.1734,Himachal Pradesh,404681.7899999999,23242,Himachal Pradesh
25.0961,85.3131,Bihar,396592.46,3153,Bihar
31.1471,75.3412,Punjab,324788.0999999999,28632,Punjab
23.6102,85.2799,Jharkhand,295508.82000000007,290,Jharkhand
29.0588,76.0856,Haryana,250048.16,10907,Haryana
30.0668,79.0193,Uttarakhand,159827.02000000002,10022,Uttarakhand
27.533,88.5122,Sikkim,81817.79000000001,305,Sikkim
10.8505,76.2711,Kerala,77809.79,13051,Kerala
26.2006,92.9376,Assam,74628.67999999998,1739,Assam
23.9408,91.9882,Tripura,61862.39000000001,248,Tripura
28.218,94.7278,Arunachal Pradesh,28121.559999999998,73,Arunachal Pradesh
25.467,91.3662,Meghalaya,10858.739999999996,665,Meghalaya
24.6637,93.9063,Manipur,5690.770000000001,46,Manipur
26.1584,94.5624,Nagaland,2831.8099999999995,861,Nagaland
23.1645,92.9376,Mizoram,1801.5200000000002,518,Mizoram
15.2993,74.124,Goa,172.10000000000002,172,Goa
